polis_id,polis_name,region,latitude,longitude,territory_size,start_date,end_date,chrono_text,population,pop_text,urban_size_ha,ha_text,relocated,relocation_details,coins,constitution_type,walls,monuments,crisis
56-Kroton,Kroton,Italia and Kampania,39.05,17.05,4,"-709, -708, -707",,"The colony was founded in 709/8 (Dion. Hal. Ant. Rom. 2.59.3; Jer. Chron. also gives Ol. 17.3, and the foundation is here treated as contemporary with that of Sybaris, as in other sources, e.g. Strabo 6.2.4, cf. 6.1.12; the Armenian Eusebios gives Ol. 17.4, i.e. 708/7).",10000:-510,"100,000 men in 510 (Diod. 12.9.5). These, obviously, are unreliable figures, but it seems correct that, after the victory over Sybaris, Kroton had the largest population of the Greek cities in Italy (cf. Diod. 14.103.4 (r 389)); 10,000 citizens, the estimate of Beloch (1922) iii.1 306-7, may be correct.",620.0,The fortified area comprised c. 620 ha (cf. Diod. 21.4 (r 295)),False,,True,oligarchy,True,"akropolis, agora, temple, theatre","conflict, conquered"
57-Kyme,Kyme,Italia and Kampania,40.5,14.05,4,"-750, -725",-421,"The archaeological evidence indicates Greek settlers at Kyme from c. 750-725, which is contemporary with the earliest Greek evidence from Pithekoussai. Kyme was the earliest of the Greek colonies in Italy and Sicily. in 421, Kyme fell to the Samnites, who subjected the city to an exandrapodismos and resettled it themselves.",5100:-520,"According to Dion. Hal. Ant. Rom. 7.3.4, Kyme in C6l, during the conflicts with the Etruscans, raised an army of 4,500 foot and 600 horse; the city also possessed a navy at this time.",80,"The walls enclosed an area of c. 80 ha, including the acropolis and part of the Monte Grillo which has revealed some traces of habitation in the Archaic period.",False,,True,oligarchy,True,"akropolis, agora, temple, bouleuterion, ekklesiastierion","conflict, conquered"
58-Laos,Laos,Italia and Kampania,39.45,15.5,2,-510,,"The date of foundation is unknown; the terminus ante quem for the existence of the Greek community is c. 510, when it commenced minting.",,,,,False,,True,,True,,"conflict, conquered"
59-Lokroi,Lokroi,Italia and Kampania,38.15,16.15,3,"-679, -673, -700",,"according to Eusebios at the time of Olympiad 25.1 or 26.4 (679/8 or 673/2). A foundation in the first decades of C7 is now confirmed by archaeological evidence. After a few years the colonists relocated to the historical site of Lokroi, with evidence of Greek settlers from c. 700, which fits Strabo's chronology (6.1.7) but is earlier than the Eusebian foundation date.",,,240,"The 7 km circuit wall encircled a vast area of c. 240 ha, of which the area south of the 'Dromos' comprises c. 80 ha.",True,"The colonists first settled at Cape Zephyrion (modern Capo Bruzzano), but a few years later they moved to a permanent site at the 'hill of Epopis' with the co-operation of Syracusans and possibly of others.",True,oligarchy,True,"akropolis, agora, temple, prytaneion, theatre, stoa","conflict, conquered"
60-Medma,Medma,Italia and Kampania,38.3,16.0,2,-620,,Archaeological evidence points to a foundation in C7 (Paoletti (1981b) 147). Studies in the hinterland of Medma have revealed Greek influence from C7l.,4000:-396,"In 396, Dionysios I of Syracuse relocated 4,000 Medmaians to Sicilian Messana; The figure of 4,000 is the only indication of the order of size of the Medmaian population, and if it is historical, it probably refers to the entire population (Settis (1965) 125).",35,"The larger plateau had an extent of about 130-140 ha, but the urbanised area in its western part comprised only about 30-35 ha.",True,"In 396, Dionysios I of Syracuse relocated 4,000 Medmaians to Sicilian Messana (Diod. 14.78.5); this probably meant a depopulation of Medma. When the populations of Kaulonia and Hipponion were relocated to Sicily in 389, Dionysios handed over their territories to Lokroi, and it is not impossible that the same happened in the case of Medma.",True,,,temple,"conflict, conquered"
61-Metapontion,Metapontion,Italia and Kampania,40.25,16.5,4,"-733, -630",,"Euseb. Chron. Arm. under Ol. 1 dates the foundation to 733/2, but the archaeological evidence suggests a foundation c. 630",40000:unknown,"On the basis of the seating capacity of the ekklesiasterion (infra), the total population of the polis may tentatively be estimated at max. 40,000, of whom some 12,500 could be accommodated in the town itself (Carter (1990) 406 with n. 2).",145,A C6m circuit wall with extensive use of sun-dried brick was raised on the edge of the settlement plateau enclosing an area of 140-45 ha.,False,,True,democracy,True,"agora, temple, ekklesiastierion, theatre, stoa",conflict
62-Metauros,Metauros,Italia and Kampania,38.25,15.55,1,-650,-420,"Metauros was a foundation either of Zankle or of Lokroi. The prevailing interpretation takes Metauros to be an originally Chalkidian, i.e. Zanklean, foundation later occupied by Lokroi, at about the time when that city founded Hipponion and Medma, i.e. C7s. Burials cease C6l, and very few tombs are known from C5. Such evidence may point to a termination of settlement C5l-C4e, perhaps due to Leukanian pressure.",,,60,a conservative estimate is that the settlement comprised about 60 ha.,False,,False,,,"akropolis, temple","conflict, conquered"
63-Neapolis,Neapolis,Italia and Kampania,40.5,14.15,1,-470,,"Neapolis was founded c. 470 on the initiative of Kyme (no. 57; Ps.-Skymnos 242-43; cf. Strabo 5.4.7); the date is based on the chronology of Syracusan involvement in Kymaian history and upon evidence from the Castel Capuano cemetery (Frederiksen (1984) 94, 101-7; Valenza Mele (1993) 197-98).",8000:unknown,"E. Greco (1985a) 199-216 estimates two rows of ten houses per insula, with seven or eight inhabitants per house, and hence an urban population of 1,000-8,000 inhabitants.",75.0,The plateau was fortified by a circuit wall c. 3.8 km long and enclosing an area of c. 75 ha,False,,True,democracy,True,"akropolis, agora, temple, theatre, gymnasium",conflict
64-Pandosia,Pandosia,Italia and Kampania,,,,-773,,"According to Eusebios (Helm 181; Schöne 78), the foundation of Pandosia was contemporary with that of Metapontion: Ol. 1.4 = 773; it is not, however, clear whether the reference is to this Pandosia or the one near Herakleia. In any case, the Eusebian date for Metapontion is unreliable.",,,,,False,,True,,,,
65-Pithekoussai,Pithekoussai,Italia and Kampania,40.45,13.55,1,-750,,the archaeological data from the 'Gosetti-Akropolis dump' and from the Mazzola excavation date the foundation to c. 750 (Neeft (1994) 150 n. 9 ('c. 740'); Coldstream (1995); d'Agostino (1999a) 56-58).,"10000:-750, 4000:-750_min","Within the first generations after the foundation the population may have risen to 5,000-10,000 (Ridgway (1992) 101-3). Morris (1996) 57 suggests a minimum population of 4,000-5,000.",75.0,"The whole area of Pithekoussai, including the Valle di S. Montano with cemeteries, and the lowland plain, with the probable harbour, between Monte di Vico and the ridge of Mezzavia, comprises about 75 ha (Buchner (1975) 66). The plateau, relatively flat, formed a habitation area of about 6 ha.",False,,False,,True,"akropolis, temple","conflict, conquered, earthquake"
66-Poseidonia,Poseidonia,Italia and Kampania,40.25,15.0,4,"-600, -530",,"The literary tradition offers only a terminus ante quem for the foundation, viz. c. 530, provided by Herodotos, who at 1.167.4 refers to the city as in existence when Hyele (no. 54) was founded (c. 540-535). Archaeological evidence suggests a foundation date of c. 600.",1700:-460,"The C5m-C4 circular ekklesiasterion had a seating capacity of 1,000-1,700.",125,"The extent of the C6-C5 habitation area, estimated at c. 125 ha, is indicated by several large cemeteries and sanctuaries situated along the edge of the urban area.",False,,True,,True,"agora, temple, ekklesiastierion","conflict, conquered"
67-Pyxous,Pyxous,Italia and Kampania,40.05,15.3,,"-550, -471",,"Diod. 11.59.4, where it is reported that it was founded as a polis in 471/0 by Mikythos, the tyrant of Rhegion (no. 68) and Zankle/Messana (no. 51); C6s coins inscribed PYXOES may belong to this city; If the coins were so minted, it follows that Pyxous existed prior to Mikythos' foundation of the site",,,11,"The walls enclosed an area of about 11 ha, of which perhaps only about 6 ha was used for habitation.",False,,True,,True,,conflict
68-Rhegion,Rhegion,Italia and Kampania,38.05,15.4,5,-730,,"It was one of the early Chalkidian foundations, probably founded shortly after Naxos and Zankle (730-720) as corroborated by C8l and C7 ceramic finds. The participation of Messenian refugees from the First Messenian War dates the foundation to C8s.",3000:-473,"According to Hdt. 7.170.3, Rhegion lost 3,000 men in battle against the Iapygians in 473. An army of 6,000 foot, 600 horse and fifty triremes was deployed in 399.",70,"The area within the C4 circuit wall comprised about 70 ha, obviously less during the Archaic period if part of the Aspropomonte hills were outside the fortified area.",False,,True,oligarchy,True,"temple, ekklesiastierion, theatre","conflict, conquered"
69-Siris,Siris,Italia and Kampania,40.15,16.4,,"-720, -660",-433,"the archaeological evidence, which points to a foundation date of C8l-C7e. The foundation date of c. 660 implied by the synchronisation with Gyges' capture of Kolophon. So, by the 430s Siris had been replaced by Herakleia (no. 52). Diod. 12. 36. 4 dates the foundation of this colony to 433/2, and he reports that it was founded at the site of Siris, whose inhabitants were deported.",,,,,False,,True,,True,"akropolis, agora, temple","conflict, conquered"
70-Sybaris,Sybaris,Italia and Kampania,39.45,16.3,5,"-721, -709",,"Sybaris was founded in the last quarter of C8 (721/20: Ps.Skymnos 360; or 709/8: Euseb. Chron. 91b Helm), a date confirmed by archaeological evidence",300000:unknown,"The large figures reported for the number of citizens (100,000 astoi: Ps.-Skymnos 341; 300,000 politai: Diod. 10.23, 12.9.2) or armed forces (300,000 men: Diod. 10.23 and Strabo 6.1.13; 50,000 horse: Ath. 519C = Timaeus (FGrHist 566) fr. 50), although obviously legendary, may all the same indicate a very populous city; the size of the urban area (c. 500 ha, infra) confirms that Sybaris was indeed a large city.",500,recent investigations indicate that the extent of the city was about 500 ha.,True,"Sybaris went through multiple phases: Sybaris I was destroyed by Kroton in 510. Sybaris II continued as a dependent polis of Kroton. Sybaris III was refounded c.453 by Thessalos but destroyed again by the Krotoniates. Sybaris IV was the initial Sybarite-Athenian settlement that became Thourioi. The expelled Sybarites then settled by the river Traeis (Sybaris on the Traeis), which was eventually destroyed by the Brettians.",True,oligarchy,,temple,"conflict, conquered, flood"
71-Taras,Taras,Italia and Kampania,40.3,17.15,4,-706,,"founded in C8l (706 according to Euseb. Chron. 91, Helm; cf. Van Compernolle (1992) 774). the archaeological evidence confirms the traditional C8l date for the foundation (Lo Porto (1970) 357-58; De Juliis (1983) 429; Boschung (1994) 177).",100000:-350,"Allegedly, Taras could muster 30,000 infantry, 3,000 cavalry and 1,000 hipparchoi (Strabo 6.3.4) in the age of Archytas. Diodorus has 20,000 infantry and 2,000 cavalry (20.104.2 (r 303)) as the citizen troops mobilised by Kleonymos in 303. And Taras was known as the most populous of the cities of Magna Graecia (Ps.-Skymnos 330). If the army figures are of the right order of magnitude, Taras, at its peak in C4, must have had a citizen population of over 100,000 plus an unknown number of foreigners and slaves (on the basis of these army figures, Wuilleumier (1939) 173-74 calculates a C4m citizen population of 240,000 and a C4l one of 155,000; Beloch (1886) 302 suggests 60,000 for C3l).",530,"The large extent of the C5-C4 city, c. 530 ha, may support a high population figure, though the intramural area included the cemetery (Polyb. 8.28.7). From C5s the urban area measured c. 530 ha (E. Greco (1981b) 150-51); a c. 10 km-long circuit wall built in 450-430 incorporated the new urban extension and the Archaic cemeteries.",False,,True,democracy,True,"akropolis, agora, temple, bouleuterion, prytaneion, ekklesiastierion, theatre",conflict
72-Temesa,Temesa,Italia and Kampania,39.05,16.1,,-520,,"the cultural assemblage is indeed C6s-C5f Greek; Initially, i.e. C6l, it was an incuse coinage with the tripod of Kroton; prior to 510 within the dominion of Sybaris and after 510 in the dominion of Kroton, and from c. 480, some time after the Medmean, Hipponian and Lokrian defeat of Kroton, in the dominion of Lokroi",,,,,False,,True,,True,,"conflict, conquered"
73-Terina,Terina,Italia and Kampania,38.55,16.15,,"-510, -460",-356,"Terina was founded by Kroton; the date of foundation is unknown, and the terminus ante quem is c. 460, the date at which the city began issuing coins. Terina may have been founded after the Krotoniate defeat of Sybaris c. 510. Terina was besieged and taken by the Brettians in 356, and the city became a Brettian community.",,,,,False,,True,,True,prytaneion,"conflict, conquered"
74-Thourioi,Thourioi,Italia and Kampania,39.45,16.3,4,-444,,The foundation proper of Thourioi followed in 444/3 (in the archonship of Praxiteles: Ps.-Plut. X orat. 835 D; cf. Dion. Hal. Lys. 1.2).,,"Nothing is known of the size of the population, the only available figures being army numbers.",,,False,,True,democracy,True,agora,"conflict, conquered"
75-Adria,Adria,The Adriatic,45.05,12.05,,-520,,"Adria was possibly a C6l foundation of Aigina (no. 358). In C4f Adria was, apparently, refounded by Dionysios I.",,,,,False,,False,,False,temple,conquered
76-Ankon,Ankon,The Adriatic,43.35,13.3,,-387,,"According to Strabo 5.4.2, Ankon was colonised c. 387 by Syracusan refugees who had fled from Dionysios I",,,,,False,,True,,True,"akropolis, temple",
77-Apollonia,Apollonia,The Adriatic,40.45,19.3,5,-600,,"according to Plut. Mor. 552 E the contingent was led by Periander, which suggests a date of c. 600 for the foundation. The tradition mentioning Periander indicates that the foundation took place during his reign, although his personal involvement remains uncertain; foundation chronology c. 600. The lack of Protocorinthian pottery confirms a foundation date of c. 600.",,,110,A C6 ? ashlar circuit wall fortified the acropolis and upper settlement area (c. 20 ha). The lower city (c. 110 ha) was protected by an extensive C4-C3 ashlar and brick circuit wall.,False,,True,democracy,True,"akropolis, temple, theatre, stoa",conflict
78-Brentesion,Brentesion,The Adriatic,40.4,18.0,,,,"Brentesion is called a polis in late sources only, in Polyb. 10.1.9 referring to the Roman colony of C3m and retrospectively in Strabo 6.3.6 referring to the mythical period. However, its status as a Greek or at least partly Hellenized polis of the Classical period is indicated by a C5m kerykeion.",,,,,False,,False,monarchy,,,conflict
79-Epidamnos,Epidamnos / Dyrrhachion,The Adriatic,41.2,19.25,,"-627, -625",,"Epidamnos was founded in either 627 or 625 (Hieron. Chron. 97 b, Helm) by Korkyraians (no. 123) (Thuc. 1. 24. 1; Ps.-Skymnos 435-36) assisted by some Corinthians (no. 227) and other Dorians (Thuc. 1. 24. 2). The few Greek remains lie beneath the Roman, mediaeval and modern city, but they confirm a foundation date of c. 625",,,,,False,,True,oligarchy,True,temple,"conflict, conquered"
80-Herakleia,Herakleia,The Adriatic,,,,-400,,"Its origin is unknown, though most scholars take it to be one of the Adriatic foundations of Dionysios I (see coin evidence below). Herakleia struck bronze coins in C4 on the Syracusan standard.",,,,,False,,True,,,,
81-Issa,Issa,The Adriatic,43.05,16.05,3,-385,,"Issa is normally believed to have been founded by Dionysios I in connection with his establishment of colonies in the Adriatic (Diod. 15. 13. 1-5 (r 385)). The present archaeological record indicates that there was no Greek settlement before c. 330, but the archaeological record is not necessarily incompatible with a foundation date in the reign of Dionysios I.",,,9.8,The C4 wall enclosed an area of c. 9.8 ha.,False,,True,democracy,True,,conflict
82-Lissos,Lissos,The Adriatic,41.45,19.35,,-385,,Lissos was founded shortly before 385 by Dionysios I (Diod. 15.13.4),,,22,"a C4 phase comprised only an upper acropolis of c. 2.3 ha. Walls in ashlar blocks, strengthened with square towers, were raised down the slope of the hill to the river Drin in C3-C2; with a perimeter of 2,150 m they enclosed a lower settlement area of c. 22 ha",False,,True,,True,akropolis,
83-Melaina-Korkyra,Melaina Korkyra,The Adriatic,43.0,17.0,4,"-500, -300",,"Melaina Korkyra was a Knidian colony. Some historians assume that there were two colonies on the island, the first one founded by Knidians in perhaps C6 (Beaumont (1936) 174) ... The foundation by Issaians is attested in the inscription ... now dated to C3f (Woodhead (1970) 508-9 following Rendic-Miocevic (1983) 192) or C4-C3 (Fraser (1993) 170 ff and LGPN 3)",,,,,True,"The original Knidian settlement had died out before the new Issaian foundation, and the Issaians were resettling a place already occupied in the past by the Greeks. The Issaian foundation may have been located at Lumbarda, in eastern Korcula.",True,,True,,
84-Pharos,Pharos,The Adriatic,43.15,16.35,1,-385,,"Pharos was a colony (apoikia) founded by Paros (no. 509) in 385 with the assistance of Dionysios I of Syracuse according to Diod. 15.13.4, 14.1-2",,,6,the size of the Greek city is estimated to comprise between 1.5 ha and 6 ha (Kirigin (1990) 299; Cambi (2002) 56-57),False,,True,,True,,conflict
85-Spina,Spina,The Adriatic,44.4,12.05,,-520,-350,The archaeological record indicates that the period referred to is C6l-C4. By C4m the city fell victim to Celtic invasions.,,,6,"The habitation area extended over c. 6 ha and was linked to the sea by a 15 m wide canal, probably built by Etruscan engineers.",False,,False,,True,temple,"conflict, conquered"
86-Amantia,Amantia,Epeiros,40.25,19.45,,-500,,it was fortified in C5,,,20,"the walls were about 2,100 m long and enclosed an area of roughly 20 ha.",False,,False,,True,temple,
87-Artichia,Artichia,Epeiros,,,,,,"in, probably, 355 a theorodokos was appointed to host theoroi from Epidauros",,,,,False,,False,,,,
88-Batiai,Batiai,Epeiros,39.15,20.5,2,-450,,"The earliest evidence of Batiai as a polis is Theopomp. fr. 206, where Batiai is mentioned together with Elateia (no. 94), Pandosia (no. 104) and Boucheta (no. 90) as poleis ton Kassopaion.",,,10.1,"It was 1,400 m in circumference and enclosed an area of 10.1 ha",False,,False,,True,"akropolis, temple",
89-Berenike,Berenike,Epeiros,39.02,20.45,,-450,,"Berenike was a polis founded by Pyrrhos II in C3s (Steph. Byz. 164.3: App. Mithr. 4). The place, however, was fortified already in C4s. Therefore the precursor of Berenike can perhaps be recognised as a dependent polis from C4s, viz. a dependency of Kassopa.",,,,,False,,False,,True,,
90-Boucheta,Boucheta,Epeiros,39.1,20.5,2,-420,,"The site was settled from prehistoric times. Corvisier (1991) 201 suggests that, already in the Archaic period, 0.75 ha was fortified. By C5l an isodomic wall with eight towers had been built and enclosed an area of 1.5 ha.",1000:-500,"When in C4f the settlement extended westward, the wall with interval towers was increased and now enclosed up to 3.5 ha, with a population of about 1,000.",3.5,"When in C4f the settlement extended westward, the wall with interval towers was increased and now enclosed up to 3.5 ha, with a population of about 1,000.",False,,False,,True,stoa,
91-Bouthroton,Bouthroton,Epeiros,39.45,20.0,,-500,,"Bouthroton is attested as a polis in the urban sense at Hecat.fr. 106 ; it is unlikely that there was a polis in Epeiros as early as 500 , unless it was a Greek colony (Hansen ( 1997 ) 20 ). There is no tradition of a Greek colony,but excavations have yielded Protocorinthian,Corinthian and Attic pottery of C7 to C5.",,,3.7,The walls surrounded 3 . 7 ha (Corvisier ( 1991 ) 287 ).,False,,False,,True,"akropolis, theatre, stoa",
92-Byllis,Byllis,Epeiros,40.35,19.45,,-460,,"The Bylliones acted for the first time as a political unit c. C4m, when they posed an oracle inquiry to Dodone. The town of Byllis was situated at the right side of the Aoos, at modern Gradisht. It was fortified in C4m.",,,28,The wall enclosed an area of 28 ha (Corvisier (1991) 288).,False,,True,,True,"agora, temple, theatre, stoa",
93-Dodone,Dodone,Epeiros,39.3,20.45,,,,,,,3.4,The acropolis was surrounded by a C4 polygonal wall which enclosed an area of 3.4 ha,False,,True,,True,"akropolis, temple",
94-Elateia,Elateia,Epeiros,39.1,20.4,,,,This site was settled from prehistoric times.,3800:-420,"Dakaris (ibid.) 172 suggests that in C5l the settlement was fortified with a polygonal wall of 1,690 m in circumference, which enclosed an area of 12.7 ha corresponding to a population of about 3,800.",12.7,which enclosed an area of 12.7 ha,False,,False,,True,,
95-Elea,Elea,Epeiros,39.25,20.35,,-450,,"the archaeological, numismatic and epigraphical record reveals that in C4s Elea must have been a polis. For a short period between c. 360 and 335 Elea struck bronze coins",,,10,Dakaris (1972) 97 identifies Elea with Charauge (near modernVeliani) on the slopes of the Korila and describes it as a fortified settlement of 10 ha,False,,True,,True,"agora, theatre, stoa",
96-Ephyra,Ephyra,Epeiros,39.15,20.3,,,,This site was inhabited from the prehistoric period and was already in LH III a fully developed settlement with a fortified acropolis enclosing an area of 4.24 ha; the settlement was the same size in C4.,,,4.24,a fortified acropolis enclosing an area of 4.24 ha (Dakaris (1972) 80 fig. 40); the settlement was the same size in C4,False,,False,,True,akropolis,
97-Eurymenai,Eurymenai,Epeiros,39.4,20.55,,,-312,"reporting the siege, conquest and destruction of the polis in 312",,,34.4,The area enclosed by the circuit measures c. 34.4 ha (Corvisier (1991) 214; Vokotopoulou (1970)).,False,,False,,True,,"conflict, conquered"
98-Gitana,Gitana,Epeiros,39.35,20.15,,-460,,A C4m manumission inscription naming the eponymous prostates of the Thesprotians testifies to the importance of this town already in the Classical period and shows that Gitana belonged to the Thesprotian tribal community (SEG 26 717).,,,28,"In C4 an area of 28 ha was enclosed with a circuit wall running for 3,000 m (Dakaris (1972) 115)",False,,False,,True,"akropolis, agora, theatre",
99-Horraon,Horraon,Epeiros,39.15,20.55,,,,Excavations show that Horraon was fortified before C4m. some houses of C4m-s have been excavated.,,,7.2,The enclosed area measures c. 7.2 ha (Corvisier (1991) 284).,False,,False,,True,,
100-Kassopa,Kassopa,Epeiros,39.1,20.4,5,-460,,From C4m Kassopa was the political centre of the region and is recorded in the C4m list of theorodokoi from Epidauros. The C4m defence circuit enclosed an area of 30 ha. A temple of Aphrodite was built about C4m.,,,30,The C4m defence circuit enclosed an area of 30 ha (Hoepfner and Schwandner (1994) 123).,False,,True,,True,"agora, temple, ekklesiastierion, theatre",
101-Nikaia,Nikaia,Epeiros,40.3,19.45,,-500,,The site was fortified in C5. remains of a fortified C5-C4 settlement which is too large to be a kome,,,18,The area enclosed by the wall measures c. 18 ha (Corvisier (1991) 288).,False,,False,,True,,
102-Olympa,Olympa,Epeiros,40.25,19.35,,-420,,The site was fortified in C5l/C4e,,,15,The enclosed area measures c. 15 ha (Corvisier (1991) 288).,False,,True,,True,,
103-Orikos,Orikos,Epeiros,40.2,19.3,,-460,,SEG 43 339 (C5m); Ps.Skylax 26,,,5,The settlement covered an area of 5 ha (Corvisier (1991) 287).,False,,True,,True,,
104-Pandosia,Pandosia,Epeiros,39.15,20.34,,,,The site was settled from the prehistoric period. Dakaris suggests that Pandosia was fortified between C5l and 343/2.,,,13.1,the polygonal enclosure encompassed an area of 13.1 ha,False,,True,,True,,"conflict, conquered"
105-Passaron,Passaron,Epeiros,39.4,20.45,,-450,,The fortification of the acropolis covering an area of 3.65 ha dates from C5s (Dakaris (1987) 72); in C4l a new defence circuit enclosed an additional area of 10 ha,,,10,in C4l a new defence circuit enclosed an additional area of 10 ha (Corvisier (1991) 213-14),False,,False,monarchy,True,"akropolis, temple, theatre",
106-Phanote,Phanote,Epeiros,39.35,20.2,,-420,,The only reason to include Phanote as a possible polis in the Classical period is the combination of the Heltic site-classification with the remains of a fairly large C4l settlement,,,5.3,An area of c. 5.3 ha was fortified in C4l,False,,False,,True,,
107-Phoinike,Phoinike,Epeiros,39.5,20.05,,-500,,a small walled acropolis of about 1.5 ha can be traced back to C5,,,57,In the Heltic period the city grew to cover up to 57 ha.,False,,False,,True,akropolis,
108-Poionos,Poionos,Epeiros,,,,-355,,"The only thing we know about Poionos is that in, probably, 355 a theorodokos was appointed to host theoroi from Epidauros",,,,,False,,False,,,,
109-Tekmon,Tekmon,Epeiros,39.4,20.55,,-400,,"The site was settled from the prehistoric period. In C4, the settlement on the hill was fortified and the walls enclosed an area of c. 34.4 ha.",,,34.4,"In C4, the settlement on the hill was fortified and the walls enclosed an area of c. 34.4 ha",False,,False,,True,,
110-Torone,Torone,Epeiros,39.31,20.1,2,,,,,,,,False,,False,,,,
111-Zmaratha,Zmaratha,Epeiros,,,,,,"in, probably, 340-338 a theorodokos was appointed to host theoroi from Epidauros",,,,,False,,False,,,,
112-Alyzeia,Alyzeia,Akarnania and Adjacent Areas,38.45,20.55,2,,,,,,27,The walls enclosed an area of 27 ha.,False,,True,,True,akropolis,conflict
113-Ambrakia,Ambrakia,Akarnania and Adjacent Areas,39.1,21.0,4,"-657, -627",,"Ambrakia was founded by Corinthians (no. 227) (Thuc. 2.80.3; Dem. 3.34) at the time of Kypselos (Strabo 7.6.6, 10.2.8; Ant. Lib. Met. 4.4), i.e. between 657/6 and 627/6 (for the date of Kypselos, see Gehrke (1990) 34).","500:-479, 3000:-425","at Plataiai with 500 hoplites (Hdt. 9.28.5, 31.4); In 425, Ambrakia went to war against Akarnania and Amphilochian Argos (no. 115) with at least 3,000 hoplites (Thuc. 3.105.1)",130,"The walls mentioned by Livy (38.4.4) belong primarily to the time of Pyrrhos; they enclose an area of c. 130 ha, but there are remains of the older walls of late Archaic or Classical times",False,,True,mixed,True,"akropolis, temple, theatre",conflict
114-Anaktorion,Anaktorion,Akarnania and Adjacent Areas,38.55,20.5,2,-657,,"Anaktorion was founded by Corinthians at the time of Kypselos (657/6-627/6; for the date, see Gehrke (1990) 34; Strabo 10.2.8; Nic. Dam.(FGrHist 90) fr. 57.7).",800:-479,"In the battle of Plataiai, Anaktorion was present, together with Leukas (no. 126), with 800 hoplites (Hdt. 9.28.5).",,,False,,True,,True,temple,"conflict, conquered"
115-Argos,Argos,Akarnania and Adjacent Areas,38.55,21.1,3,,,,,,,,True,"In about 440 the Amphilochians were expelled by Ambrakian settlers, but some two years later, with Athenian aid, they were resettled together with Akarnanians in Argos, while the Ambrakian settlers were exposed to andrapodismos (Thuc. 2.68.5-7).",True,,True,,"conflict, conquered"
11-Astakos,Astakos,Akarnania and Adjacent Areas,38.35,21.05,2,,,,,,,,False,,True,tyranny,True,temple,"conflict, conquered"
117-Derion,Derion,Akarnania and Adjacent Areas,38.4,21.2,1,-500,,"If the identification with the ruins of Skourtou is correct, Derion had an urban centre and may have been a polis already in C5-C4",,,,,False,,False,,True,"akropolis, temple",
11-Echinos,Echinos,Akarnania and Adjacent Areas,38.55,20.55,1,-400,,"As a member of the Akarnanian Confederacy which had an urban centre and presumably struck coins, Echinos was probably a polis, at least from C4",,,,,False,,True,,True,temple,
119-Euripos,Euripos,Akarnania and Adjacent Areas,38.55,21.0,1,-400,,"Since remains of a Classical and Heltic urban settlement with a cemetery exist west of the above-mentioned Late Heltic/Roman site of Saradiniko (information from E.-L. Schwandner), Euripos was probably a polis, at least from C4.",,,,,False,,False,,,,
120-Herakleia,Herakleia,Akarnania and Adjacent Areas,38.55,20.55,,-700,,the inscription on the golden phiale of C7-C6 found in Olympia (SEG 1 94; cf. supra) is connected with Pliny's Heraclia by Pritchett (1992) 100-1,,,,,False,,True,,,,
121-Hyporeiai,Hyporeiai,Akarnania and Adjacent Areas,,,,,,"Hyporeiai is attested only twice: as a toponym in an Epidaurian theorodokoi list, and on an Athenian grave stele from the Piraeus. Hyporeiai must have been a member of the Akarnanian Confederacy in C4.",,,,,False,,False,,,,
122-Ithaka,Ithaka,Akarnania and Adjacent Areas,38.25,20.4,2,-600,,Polis status in C6 may be inferred from the cult of the goddess Athena Polias (IG ix².1 1614 (C6)),,,12,The city walls enclose an area of c. 12 ha.,False,,True,,True,"akropolis, temple",
123-Korkyra,Korkyra,Akarnania and Adjacent Areas,39.35,19.55,5,"-733, -706",,"Strabo 6.2.4 says that it was founded in the same year as Syracuse (no. 47), i.e. traditionally in 733; Euseb. Chron. (translated by Jerome), however, gives the year 706, which better fits the archaeological evidence",,,,,False,,True,democracy,True,"akropolis, agora, temple, bouleuterion, prytaneion, law_courts",conflict
124-Koronta,Koronta,Akarnania and Adjacent Areas,38.35,21.1,2,-500,,"From the account of Thucydides (especially 2.102.1) we have to conclude that Koronta belonged to the Akarnanian Confederacy already in C5. It is explicitly attested as a member in C3 (IG ix².1 583, 582).",,,,,False,,True,,True,,conflict
125-Kranioi,Kranioi,Akarnania and Adjacent Areas,38.1,20.3,3,-500,,"Kranioi is referred to as a polis in the urban sense by the term tetrapalis at Thuc. 2.30.2; silver coins of C5-C4. Polygonal and ashlar walls exist on three sides of the town, for Mycenaean remains and those of C5-C4.",,,,,False,,True,,True,"akropolis, temple","conflict, conquered"
12-Leukas,Leukas,Akarnania and Adjacent Areas,38.5,20.45,4,"-657, -635",,"Leukas was founded during the reign of the tyrant Kypselos (Strabo 10.2.8, for the date (657/6-627/6), see Gehrke (1990) 34; Oberhummer (1887) 76 proposed c. 635) by Corinthians",800:-479,at Plataiai together with Anaktorion (no. 114) with 800 hoplites (Hdt. 9.28.5),,,False,,True,democracy,True,"akropolis, agora, temple",conflict
127-Limnaia,Limnaia,Akarnania and Adjacent Areas,38.5,21.1,2,-450,,"in C5s, Limnaia was a kome belonging to Argos (no. 115), but by 356/5 it had become a political unit and acquired the status of polis.",,,,,False,,False,,True,,"conflict, conquered"
